repository,repo_url,commit_hash,author,date,message,green_aware,patterns_matched,pattern_count,confidence,files_modified,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_nloc,total_complexity,methods_count,energy_joules
itheima1/Android,https://github.com/itheima1/Android,b385b001c52ca4e0c9fc9b69b6866d0941940a76,黑马程序员,2025-08-07T17:01:52+08:00,Created using Colab,False,,0,low,1,934,0,,,,0,0,0,
cSploit/android,https://github.com/cSploit/android,814ddc87c31c7bab21107791d52568c5ecd6d6e4,pahapoika,2021-01-13T11:00:40+02:00,"EOL notice

Announce EOL. The project hasn't been updated by the devs for a long time.",False,Minimize Deployed Environments,1,medium,1,4,0,,,,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,26e85831a7e20408422a19b2a9a5eb1e10429c96,Ilias Gerostathopoulos,2023-10-15T15:46:55+03:00,Initial commit,False,,0,low,2,203,0,,,,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,7bdb5f8a76e3900c84c139530f17387b1e4dd434,Ilias Gerostathopoulos,2023-10-15T14:51:40+02:00,"adding gitignore, updating readme",False,,0,low,2,8,1,,,,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,2d4bfdcca77bf48e260403fba8b7cdb0ce054b0f,Ilias Gerostathopoulos,2023-10-15T15:10:43+02:00,"adding test node application, updating README",False,,0,low,5,117,4,0.22666666666666666,1.0,1.0,80,8,5,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,0be88f9268f4fbae14a0a24bcaacbf6507bceeff,Ilias Gerostathopoulos,2023-10-15T15:13:07+02:00,adding first version of UPISAS,False,,0,low,8,307,0,0.8924050632911392,1.0,0.8607594936708861,191,44,17,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,8cd0c08f644b7b88520bc5b1edfabef362d6dfe8,Ilias Gerostathopoulos,2023-10-15T15:33:56+02:00,git ignoring venv and __pycache__ folders,True,Cache Static Data,1,medium,1,2,0,,,,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,1ed8839c6e258b15f6e71c7332ae1db9d2374492,Ilias Gerostathopoulos,2023-10-15T17:42:50+02:00,whitespace changes,False,,0,low,1,4,4,,,,108,25,9,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,a15455b7bd12edc33e2b9a470aa2435c489e5b35,Ilias Gerostathopoulos,2023-10-15T20:59:15+02:00,capturing connection and 404 error when starting up,True,Resource Limits & Constraints,1,medium,2,23,2,1.0,1.0,1.0,136,33,11,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,7bbef63900a43ef81ce243a92543fb6c05e40116,EGAlberts,2023-10-15T21:13:28+02:00,"re-structuring, logging, docstrings",False,,0,low,7,149,9,0.5377358490566038,1.0,0.8490566037735849,209,48,18,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,48239ff7d93d18013975420298f8afc542af4979,EGAlberts,2023-10-15T21:15:13+02:00,whoops,False,,0,low,1,0,121,0.16666666666666666,0.0,0.12745098039215685,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,82167a9aae8d3ce01e4f4c7050766fb79d7bfb5d,Ilias Gerostathopoulos,2023-10-15T22:25:02+02:00,"simplifying perform_get_request util function, adding validate_schema util function",True,"Avoid Chaining Critical Requests, Keep Request Counts Low, Use Serverless, Performance Profiling",4,high,4,43,41,1.0,0.0,1.0,187,41,17,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,2503903e27ab64535194659d1a2380e3b5aa9c6c,Ilias Gerostathopoulos,2023-10-17T09:38:53+02:00,unit tests initial commit (not complete suite yet),False,,0,low,3,30,1,1.0,1.0,1.0,49,10,5,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,b3516cc72e78a172cb4140eadc24e0d2213224c5,Ilias Gerostathopoulos,2023-10-17T14:54:45+02:00,"some more tests, moving http-test-server into the UPISAS/test folder",False,Keep Request Counts Low,1,medium,8,142,10,0.4727272727272727,1.0,1.0,257,46,23,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,ee2d8940e995ce0bff79994d498a42ff1e21b600,Ilias Gerostathopoulos,2023-10-17T15:10:44+02:00,making all file (module) names lowercase with underscores,False,,0,low,7,46,46,,,,235,52,25,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,a2db97d7d1d93d84204dfc6ef73447d529c4929c,Ilias Gerostathopoulos,2023-10-17T15:55:06+02:00,adding exemplar lifecycle tests,False,Set Retention Policy on Storage,1,medium,2,56,2,1.0,1.0,1.0,77,14,12,
