repository,commit_hash,author,date,green_aware,patterns_matched,pattern_count,files_modified,insertions,deletions,dmm_unit_size,dmm_unit_complexity,total_nloc,total_complexity
S2-group/UPISAS,26e85831a7e20408422a19b2a9a5eb1e10429c96,Ilias Gerostathopoulos,2023-10-15T15:46:55+03:00,False,,0,2,203,0,,,0,0
S2-group/UPISAS,7bdb5f8a76e3900c84c139530f17387b1e4dd434,Ilias Gerostathopoulos,2023-10-15T14:51:40+02:00,False,,0,2,8,1,,,0,0
S2-group/UPISAS,2d4bfdcca77bf48e260403fba8b7cdb0ce054b0f,Ilias Gerostathopoulos,2023-10-15T15:10:43+02:00,False,,0,5,117,4,0.22666666666666666,1.0,80,8
S2-group/UPISAS,0be88f9268f4fbae14a0a24bcaacbf6507bceeff,Ilias Gerostathopoulos,2023-10-15T15:13:07+02:00,False,,0,8,307,0,0.8924050632911392,1.0,191,44
S2-group/UPISAS,8cd0c08f644b7b88520bc5b1edfabef362d6dfe8,Ilias Gerostathopoulos,2023-10-15T15:33:56+02:00,True,Cache Static Data,1,1,2,0,,,0,0
S2-group/UPISAS,1ed8839c6e258b15f6e71c7332ae1db9d2374492,Ilias Gerostathopoulos,2023-10-15T17:42:50+02:00,False,,0,1,4,4,,,108,25
S2-group/UPISAS,a15455b7bd12edc33e2b9a470aa2435c489e5b35,Ilias Gerostathopoulos,2023-10-15T20:59:15+02:00,True,Resource Limits & Constraints,1,2,23,2,1.0,1.0,136,33
S2-group/UPISAS,7bbef63900a43ef81ce243a92543fb6c05e40116,EGAlberts,2023-10-15T21:13:28+02:00,False,,0,7,149,9,0.5377358490566038,1.0,209,48
S2-group/UPISAS,48239ff7d93d18013975420298f8afc542af4979,EGAlberts,2023-10-15T21:15:13+02:00,False,,0,1,0,121,0.16666666666666666,0.0,0,0
S2-group/UPISAS,82167a9aae8d3ce01e4f4c7050766fb79d7bfb5d,Ilias Gerostathopoulos,2023-10-15T22:25:02+02:00,True,"Avoid Chaining Critical Requests, Keep Request Counts Low, Use Serverless, Performance Profiling",4,4,43,41,1.0,0.0,187,41
tanprathan/MobileApp-Pentest-Cheatsheet,c8bf89320217f5c10d441dab21dc591ae418ed4f,Prathan Phongthiproek,2020-01-19T10:19:33+07:00,False,,0,1,3,0,,,0,0
